epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,913.861,1.15745,0.68812,1.11861,0.88124,0.8684,0.89761,0.50767,1.49785,0.70327,1.40015,0.0015842,0.0015842,0.0015842
86,924.77,1.12753,0.69215,1.11706,0.93786,0.87234,0.90927,0.50517,1.53286,0.7241,1.37309,0.00157925,0.00157925,0.00157925
87,934.428,1.15493,0.68062,1.13776,0.95958,0.85106,0.89387,0.49827,1.56646,0.71386,1.42292,0.0015743,0.0015743,0.0015743
88,946.234,1.1824,0.68177,1.13681,0.88184,0.87332,0.90428,0.5058,1.54399,0.72445,1.4232,0.00156935,0.00156935,0.00156935
89,955.642,1.16782,0.68687,1.10441,0.91267,0.88951,0.9107,0.51904,1.52043,0.67047,1.38956,0.0015644,0.0015644,0.0015644
90,966.203,1.12605,0.67646,1.12204,0.93122,0.84043,0.89272,0.51408,1.48234,0.66342,1.34762,0.00155945,0.00155945,0.00155945
91,977.59,1.12712,0.6682,1.10793,0.91331,0.89661,0.90635,0.50649,1.48608,0.665,1.37614,0.0015545,0.0015545,0.0015545
92,987.034,1.1365,0.70032,1.11693,0.93643,0.88298,0.92704,0.51849,1.46178,0.67474,1.40908,0.00154955,0.00154955,0.00154955
93,998.739,1.09758,0.65157,1.11437,0.91845,0.8617,0.90508,0.49451,1.50877,0.70312,1.4048,0.0015446,0.0015446,0.0015446
94,1007.99,1.09317,0.68189,1.0905,0.90756,0.85106,0.90409,0.49291,1.5178,0.70503,1.41047,0.00153965,0.00153965,0.00153965
95,1019.13,1.12763,0.67708,1.12452,0.90905,0.85062,0.89603,0.51457,1.51197,0.66118,1.3473,0.0015347,0.0015347,0.0015347
96,1030.38,1.17091,0.68119,1.12376,0.88373,0.80855,0.87938,0.47326,1.56827,0.74092,1.38414,0.00152975,0.00152975,0.00152975
97,1039.69,1.1223,0.64971,1.10017,0.90567,0.85106,0.88864,0.50638,1.48721,0.68969,1.37014,0.0015248,0.0015248,0.0015248
98,1051.65,1.08523,0.65906,1.08056,0.90067,0.88298,0.90362,0.48703,1.55228,0.70627,1.39292,0.00151985,0.00151985,0.00151985
99,1060.33,1.09613,0.65716,1.07752,0.92383,0.90315,0.9226,0.49671,1.5251,0.68158,1.34906,0.0015149,0.0015149,0.0015149
100,1071.59,1.05629,0.62823,1.09144,0.89204,0.84043,0.86815,0.49448,1.4982,0.6646,1.36142,0.00150995,0.00150995,0.00150995
101,1082.52,1.04227,0.6305,1.06877,0.92212,0.88176,0.90165,0.49129,1.50155,0.65928,1.37411,0.001505,0.001505,0.001505
102,1091.95,1.0972,0.66125,1.09428,0.90525,0.87234,0.89543,0.51351,1.47874,0.66175,1.37196,0.00150005,0.00150005,0.00150005
103,1103.71,1.04807,0.63138,1.07339,0.8839,0.90426,0.92812,0.51607,1.43847,0.65943,1.37254,0.0014951,0.0014951,0.0014951
104,1112.79,1.08814,0.65916,1.09838,0.89105,0.87005,0.91283,0.52459,1.45948,0.71911,1.36146,0.00149015,0.00149015,0.00149015
105,1124.37,1.05476,0.62091,1.06508,0.91176,0.87945,0.92116,0.53053,1.5031,0.63458,1.35636,0.0014852,0.0014852,0.0014852
106,1135.16,1.08305,0.62722,1.09955,0.94244,0.89362,0.92449,0.53498,1.4915,0.65878,1.36481,0.00148025,0.00148025,0.00148025
107,1144.51,1.06222,0.63905,1.09087,0.92489,0.88298,0.91911,0.51371,1.53055,0.69597,1.38912,0.0014753,0.0014753,0.0014753
108,1156.85,1.06505,0.63771,1.08597,0.89386,0.89588,0.92602,0.52025,1.48236,0.63991,1.43176,0.00147035,0.00147035,0.00147035
109,1165.54,1.07399,0.61611,1.07201,0.89299,0.88776,0.91208,0.53471,1.5015,0.66416,1.38978,0.0014654,0.0014654,0.0014654
110,1176.63,1.06733,0.60792,1.07764,0.93307,0.88981,0.94401,0.54612,1.45818,0.62213,1.33411,0.00146045,0.00146045,0.00146045
111,1187.41,1.08357,0.64393,1.0778,0.92953,0.89362,0.92926,0.50705,1.44123,0.62673,1.33704,0.0014555,0.0014555,0.0014555
112,1196.97,1.04371,0.61907,1.0807,0.90025,0.90426,0.9145,0.53738,1.46651,0.63518,1.36843,0.00145055,0.00145055,0.00145055
